country,date,Debt as % of Exports
Canada,2023-01-01,
Canada,2022-01-01,
Canada,2021-01-01,
Canada,2020-01-01,
Canada,2019-01-01,
China,2023-01-01,
China,2022-01-01,2388742446960.7
China,2021-01-01,2702248173084.8
China,2020-01-01,2326232537961.7
China,2019-01-01,2114161989828.3
United Kingdom,2023-01-01,
United Kingdom,2022-01-01,
United Kingdom,2021-01-01,
United Kingdom,2020-01-01,
United Kingdom,2019-01-01,
India,2023-01-01,
India,2022-01-01,616862975673.6
India,2021-01-01,611987174447.7
India,2020-01-01,564979321177.1
India,2019-01-01,561017395481.3
United States,2023-01-01,
United States,2022-01-01,
United States,2021-01-01,
United States,2020-01-01,
United States,2019-01-01,
